,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list
1382,1382,2,0.5435644431995964,[5],A,B,False
1383,1383,2,0.8112781244591328,[5],A,B,False
1384,1384,2,0.9544340029249649,[5],B,None,False
1385,1385,2,0.5435644431995964,[5],B,A,False
1386,1386,2,0.9544340029249649,[5],B,A,False
1387,1387,1,0.8112781244591328,[3],A,B,True
1388,1388,2,0.5435644431995964,[5],B,A,False
1389,1389,2,0.9544340029249649,[5],B,A,False
1390,1390,2,0.5435644431995964,[5],B,A,False
1391,1391,2,0.9544340029249649,[5],B,None,False
1392,1392,2,0.9544340029249649,[5],B,A,False
1393,1393,2,0.9544340029249649,[5],B,None,False
1394,1394,2,1.0,[4],None,None,False
1395,1395,2,0.9544340029249649,[5],B,None,False
1396,1396,1,0.8112781244591328,[3],B,A,True
1397,1397,2,0.9544340029249649,[5],A,None,False
1398,1398,2,0.9544340029249649,[5],B,None,False
1399,1399,2,1.0,[4],None,None,False
1400,1400,2,1.0,[4],None,None,False
1401,1401,2,1.0,[4],None,None,False
1402,1402,2,0.5435644431995964,[5],A,B,True
1403,1403,2,0.5435644431995964,[5],A,B,True
1404,1404,2,0.9544340029249649,[5],A,B,False
1405,1405,2,0.9544340029249649,[5],B,None,False
1406,1406,2,0.8112781244591328,[5],A,B,False
1407,1407,2,0.5435644431995964,[5],B,A,False
1408,1408,2,1.0,[5],B,None,False
1409,1409,2,0.5435644431995964,[5],B,A,False
1410,1410,2,0.9544340029249649,[5],B,None,False
1411,1411,2,0.5435644431995964,[5],B,A,False
1412,1412,2,0.5435644431995964,[5],A,B,False
1413,1413,2,1.0,[4],None,None,False
1414,1414,2,0.8112781244591328,[5],A,None,False
1415,1415,2,1.0,[4],None,None,False
1416,1416,2,1.0,[4],None,None,False
1417,1417,1,0.8112781244591328,[3],A,B,True
1418,1418,2,0.5435644431995964,[5],B,A,False
1419,1419,2,1.0,[4],B,None,False
1420,1420,2,1.0,[4],B,None,False
1421,1421,2,0.5435644431995964,[5],B,A,False
1422,1422,2,0.5435644431995964,[5],A,B,True
1423,1423,2,1.0,[4],None,None,False
1424,1424,2,0.9544340029249649,[5],A,None,False
1425,1425,2,1.0,[4],None,None,False
1426,1426,2,1.0,[4],B,None,False
1427,1427,2,0.8112781244591328,[5],B,A,False
1428,1428,2,0.5435644431995964,[5],B,A,False
1429,1429,1,0.8112781244591328,[3],A,B,True
1430,1430,2,0.9544340029249649,[5],B,None,False
1431,1431,2,1.0,[4],B,None,False
1432,1432,2,1.0,[4],A,None,False
1433,1433,2,1.0,[4],A,None,False
1434,1434,2,1.0,[4],None,None,False
1435,1435,2,0.9544340029249649,[5],A,B,False
1436,1436,2,0.5435644431995964,[5],B,A,True
1437,1437,2,1.0,[4],B,None,False
1438,1438,2,1.0,[4],None,None,False
1439,1439,1,0.8112781244591328,[3],A,B,True
1440,1440,1,0.8112781244591328,[3],A,B,True
1441,1441,2,0.9544340029249649,[5],A,None,False
1442,1442,2,1.0,[4],B,None,False
1443,1443,2,1.0,[4],None,None,False
1444,1444,2,0.9544340029249649,[5],B,None,False
1445,1445,2,0.5435644431995964,[5],B,A,False
1446,1446,2,0.9544340029249649,[5],A,None,False
1447,1447,2,0.5435644431995964,[5],B,A,True
1448,1448,2,1.0,[4],B,None,False
1449,1449,2,1.0,[4],B,None,False
1450,1450,2,1.0,[4],B,None,False
1451,1451,2,1.0,[4],A,None,False
1452,1452,2,0.5435644431995964,[5],B,A,False
1453,1453,2,0.5435644431995964,[5],B,A,True
1454,1454,2,1.0,[4],None,None,False
1455,1455,2,0.9544340029249649,[5],B,A,False
1456,1456,2,0.5435644431995964,[5],A,B,False
1457,1457,2,0.8112781244591328,[5],A,B,False
1458,1458,2,0.5435644431995964,[5],A,B,False
1459,1459,2,0.5435644431995964,[5],B,A,False
1460,1460,2,0.5435644431995964,[5],A,B,True
1461,1461,2,1.0,[4],B,None,False
1462,1462,2,0.5435644431995964,[5],B,A,True
1463,1463,2,0.9544340029249649,[5],B,A,False
1464,1464,2,0.9544340029249649,[5],B,None,False
1465,1465,1,0.8112781244591328,[3],B,A,True
1466,1466,2,0.9544340029249649,[5],B,None,False
