,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
8250,8250,2,0.5435644431995964,[5],['A'],B,False,None,1,8250,"(((((A)#R0)#R1,(B,#H0)),#H1))"
8251,8251,2,0.9544340029249649,[5],['B'],A,False,None,1,8251,"((((((B)#R1,A))#R0,#H1),#H0))"
8252,8252,2,0.8112781244591328,[5],['B'],None,False,B,0,8252,"((((B)#R0)#R1,(A,(#H0,#H1))))"
8253,8253,2,1.0,[4],[],None,False,None,0,8253,"(((((A,B))#R0)#R1,(#H0,#H1)))"
8254,8254,2,0.9544340029249649,[5],['B'],A,False,None,1,8254,"(((((A,(B)#R1))#R0,#H1),#H0))"
8255,8255,2,0.9544340029249649,[5],['A'],B,False,None,1,8255,"((((B,#H1))#R0,((A)#R1,#H0)))"
8256,8256,2,0.8112781244591328,[5],['A'],B,False,A,0,8256,"(((B,#H0),(((A)#R1)#R0,#H1)))"
8257,8257,2,0.5435644431995964,[5],['A'],B,False,None,1,8257,"((((A)#R1)#R0,((B,#H1),#H0)))"
8258,8258,2,0.8112781244591328,[5],['B'],A,False,B,0,8258,"(((((B)#R0)#R1,A),(#H0,#H1)))"
8259,8259,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8259,"(((B)#R0,(((A)#R1,#H0),#H1)))"
8260,8260,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,8260,"(((((A)#R1,(B)#R0),#H0),#H1))"
8261,8261,2,0.5435644431995964,[5],['A'],B,True,None,0,8261,"((((B,((A)#R1)#R0),#H0),#H1))"
8262,8262,2,0.5435644431995964,[5],['B'],A,False,None,1,8262,"(((((B)#R0)#R1,(A,#H0)),#H1))"
8263,8263,2,0.9544340029249649,[5],['B'],A,False,None,1,8263,"((((((B)#R0,A))#R1,#H0),#H1))"
8264,8264,2,0.8112781244591328,[5],['B'],None,False,B,0,8264,"(((A,(((B)#R0)#R1,#H0)),#H1))"
8265,8265,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,8265,"(((A)#R1,((B)#R0,(#H0,#H1))))"
8266,8266,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,8266,"(((A)#R0,(((B)#R1,#H0),#H1)))"
8267,8267,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8267,"(((((B)#R1,(A)#R0),#H0),#H1))"
8268,8268,2,0.5435644431995964,[5],['A'],B,True,None,0,8268,"((((((A)#R0)#R1,B),#H1),#H0))"
8269,8269,2,0.5435644431995964,[5],['B'],A,True,None,0,8269,"((((A,(#H1)#R0),#H0),(B)#R1))"
8270,8270,2,0.5435644431995964,[5],['A'],B,False,None,1,8270,"(((((A)#R1)#R0,(B,#H1)),#H0))"
