Iteration;Newick
116;(((B)#R0,((A)#R1,(#H0,#H1))));
117;((((A)#R0)#R1,(B,(#H0,#H1))));
118;(((((B)#R0,(A)#R1),#H1),#H0));
119;((((B)#R1)#R0,((A,#H1),#H0)));
120;(((((B)#R1)#R0,A),(#H0,#H1)));
121;((((A)#R0)#R1,((B,#H0),#H1)));
122;(((B)#R0,((#H0,#H1),(A)#R1)));
123;(((((A)#R1)#R0,(#H0,#H1)),B));
124;((((A)#R0,#H1),((B)#R1,#H0)));
125;((((A)#R0,((B)#R1,#H0)),#H1));
126;(((((A,B))#R0)#R1,(#H0,#H1)));
127;((((A)#R0,((B,#H0))#R1),#H1));
128;((A,((((B)#R0)#R1,#H0),#H1)));
129;((((B)#R0)#R1,((A,#H0),#H1)));
130;(((#H0)#R1,((B,(A)#R0),#H1)));
131;(((((B,#H0))#R1,(A)#R0),#H1));
132;(((((B)#R1)#R0,(A,#H1)),#H0));
133;(((#H1)#R0,(A,((B)#R1,#H0))));
134;(((A,((B)#R0)#R1),(#H0,#H1)));
135;((((((B,A))#R1)#R0,#H1),#H0));
136;(((((B)#R1)#R0,(A,#H1)),#H0));
137;(((((A,B))#R0,(#H0)#R1),#H1));
138;((((A,((B)#R0)#R1),#H0),#H1));
139;((((B)#R1,#H0),((A)#R0,#H1)));
140;((((A,#H1),#H0),((B)#R1)#R0));
141;((((((B)#R1)#R0,#H1),#H0),A));
142;((((A)#R1,#H0),((B)#R0,#H1)));
143;(((B,#H1),(((A)#R0)#R1,#H0)));
144;((A,((#H0)#R1,((B)#R0,#H1))));
145;(((A)#R1,(((#H1)#R0,B),#H0)));
146;(((((A,#H1))#R0,(B)#R1),#H0));
147;(((((A,#H1))#R0,(B)#R1),#H0));
148;((((B,#H1))#R0,((A)#R1,#H0)));
149;((((B,#H1),#H0),((A)#R1)#R0));
150;(((((A)#R0,B))#R1,(#H0,#H1)));
151;((((#H0,#H1),A),((B)#R0)#R1));
152;((((#H0)#R1,((A)#R0,B)),#H1));
153;((((#H0)#R1,(B,(A)#R0)),#H1));
154;((((A)#R1)#R0,((B,#H0),#H1)));
155;(((#H0,#H1),(((B)#R0)#R1,A)));
156;((((B)#R1)#R0,(A,(#H0,#H1))));
157;((((((A)#R1,B))#R0,#H1),#H0));
158;((B,((((A)#R1)#R0,#H1),#H0)));
159;(((#H0)#R1,((A)#R0,(B,#H1))));
160;((A,(((#H1)#R0,(B)#R1),#H0)));
161;(((((B)#R1)#R0,(A,#H0)),#H1));
162;(((((A)#R0,#H1),(B)#R1),#H0));
163;(((#H0,#H1),(A,((B)#R0)#R1)));
164;((((A)#R0,((B)#R1,#H0)),#H1));
165;(((((A)#R0)#R1,(B,#H0)),#H1));
166;(((((A)#R1)#R0,(B,#H0)),#H1));
167;(((((A)#R1)#R0,B),(#H0,#H1)));
168;((((((A)#R1)#R0,B),#H0),#H1));
169;((((B)#R0,(#H0)#R1),(A,#H1)));
170;((((B)#R1)#R0,(A,(#H0,#H1))));
171;((((A)#R0)#R1,((B,#H0),#H1)));
172;(((((B)#R0,#H1),#H0),(A)#R1));
173;(((((B)#R1)#R0,(A,#H1)),#H0));
174;(((((A)#R0)#R1,(B,#H1)),#H0));
175;((((A)#R1)#R0,((B,#H1),#H0)));
176;(((((B)#R0,(A)#R1),#H1),#H0));
177;((((((A)#R0)#R1,B),#H0),#H1));
178;(((((A)#R0)#R1,(B,#H1)),#H0));
179;((B,(((A)#R0)#R1,(#H0,#H1))));
180;((B,(((A)#R1)#R0,(#H0,#H1))));
181;(((((A)#R1)#R0,#H1),(B,#H0)));
182;((((((B,A))#R0)#R1,#H0),#H1));
183;((((((B)#R0)#R1,#H0),#H1),A));
184;(((((A)#R1,B))#R0,(#H0,#H1)));
185;((A,((((B)#R0)#R1,#H0),#H1)));
186;(((B,(#H0,#H1)),((A)#R0)#R1));
187;(((#H0,#H1),(((B)#R0)#R1,A)));
188;((B,((((A)#R0)#R1,#H0),#H1)));
189;(((A,((B)#R0,(#H0)#R1)),#H1));
190;((((B,#H1),((A)#R0)#R1),#H0));
191;((((((B)#R0)#R1,A),#H1),#H0));
192;((((B)#R1)#R0,((A,#H0),#H1)));
193;(((((B)#R1)#R0,(A,#H1)),#H0));
194;((((((A)#R1,B))#R0,#H1),#H0));
195;((B,((((A)#R0)#R1,#H0),#H1)));
196;(((#H0)#R1,(B,((A)#R0,#H1))));
197;((((((B)#R0)#R1,A),#H1),#H0));
198;((((((A)#R0)#R1,B),#H0),#H1));
199;((((#H1)#R0,(A,#H0)),(B)#R1));
200;((B,(((A)#R0)#R1,(#H0,#H1))));
201;(((#H0,#H1),(((A)#R0,B))#R1));
202;((((#H1)#R0,(A)#R1),(B,#H0)));
203;(((#H0)#R1,(((A)#R0,B),#H1)));
204;(((A,#H1),((B)#R0,(#H0)#R1)));
205;(((((B)#R0)#R1,(A,#H1)),#H0));
206;(((#H1)#R0,((A)#R1,(B,#H0))));
207;(((((A)#R1)#R0,B),(#H0,#H1)));
208;(((((A)#R0,B))#R1,(#H0,#H1)));
209;(((B,((#H0)#R1,(A)#R0)),#H1));
210;((((#H1)#R0,(A)#R1),(B,#H0)));
211;((A,((((B)#R1)#R0,#H1),#H0)));
212;((((B,((A)#R0)#R1),#H0),#H1));
213;(((((A,B))#R0)#R1,(#H0,#H1)));
214;(((((B)#R1,(A)#R0),#H1),#H0));
215;(((((B)#R1,(A)#R0),#H1),#H0));
216;((((#H1)#R0,((B)#R1,A)),#H0));
217;((((B)#R1)#R0,((A,#H0),#H1)));
218;((((A)#R1,(B)#R0),(#H0,#H1)));
219;((((A)#R1,#H0),((#H1)#R0,B)));
220;(((B)#R1,((A,(#H1)#R0),#H0)));
221;(((((A)#R1,(B)#R0),#H1),#H0));
222;(((((A)#R1,(B)#R0),#H0),#H1));
223;(((((A)#R1)#R0,(B,#H0)),#H1));
224;(((A)#R0,((#H0,#H1),(B)#R1)));
225;(((((B)#R1)#R0,(A,#H1)),#H0));
226;((((#H1)#R0,(B)#R1),(A,#H0)));
227;(((B)#R1,((A)#R0,(#H0,#H1))));
228;((((#H0)#R1,((A)#R0,B)),#H1));
229;((((((A)#R1)#R0,B),#H1),#H0));
230;((((B)#R1)#R0,((#H0,#H1),A)));
231;((((#H1)#R0,(B)#R1),(A,#H0)));
232;((((B,(A)#R0))#R1,(#H0,#H1)));
233;((((B,#H0))#R1,((A)#R0,#H1)));
234;((((((A)#R0)#R1,B),#H1),#H0));
235;((((B)#R1)#R0,((A,#H1),#H0)));
236;((B,((((A)#R0)#R1,#H0),#H1)));
237;((((#H1)#R0,((A)#R1,B)),#H0));
238;(((#H0,#H1),(((A)#R1)#R0,B)));
239;(((#H0)#R1,((A)#R0,(B,#H1))));
240;((((B)#R1,((A)#R0,#H1)),#H0));
241;(((((B)#R0)#R1,(A,#H1)),#H0));
242;((A,(((B)#R0)#R1,(#H0,#H1))));
243;((((A,(B)#R0))#R1,(#H0,#H1)));
244;(((((B)#R0)#R1,(A,#H1)),#H0));
245;((((((A)#R1,B))#R0,#H1),#H0));
246;(((((B)#R0)#R1,(A,#H1)),#H0));
247;((((((B)#R1)#R0,#H1),#H0),A));
248;((((A)#R1)#R0,((#H0,#H1),B)));
249;(((((B)#R0)#R1,(A,#H1)),#H0));
250;((((((B)#R1)#R0,A),#H0),#H1));
251;(((((A)#R1)#R0,(B,#H0)),#H1));
252;((((B)#R0,#H1),(A,(#H0)#R1)));
253;(((A)#R1,((B,(#H1)#R0),#H0)));
254;((((B,#H1),#H0),((A)#R1)#R0));
255;((((A)#R1,((#H1)#R0,B)),#H0));
256;((((A)#R0,#H1),((B)#R1,#H0)));
257;(((((B,A))#R0)#R1,(#H0,#H1)));
258;((((((B)#R1)#R0,#H1),#H0),A));
259;((((B,#H0),((A)#R0)#R1),#H1));
260;((((((B)#R0)#R1,A),#H0),#H1));
261;(((((B)#R0)#R1,(A,#H0)),#H1));
262;((((B)#R0)#R1,(A,(#H0,#H1))));
263;(((#H0,#H1),(((B)#R1,A))#R0));
264;(((((B)#R1)#R0,(A,#H1)),#H0));
265;((((A,((B)#R1)#R0),#H1),#H0));
266;(((A)#R0,(((B)#R1,#H0),#H1)));
267;((((A,#H0))#R1,((B)#R0,#H1)));
268;(((#H0)#R1,((B)#R0,(A,#H1))));
269;((((A)#R0)#R1,((B,#H1),#H0)));
270;(((A,((#H1)#R0,(B)#R1)),#H0));
271;(((#H1)#R0,(((A)#R1,#H0),B)));
272;((B,(((A)#R0,(#H0)#R1),#H1)));
273;((((B)#R1)#R0,((A,#H0),#H1)));
274;((((B)#R0)#R1,((A,#H0),#H1)));
275;(((((B)#R0,(A)#R1),#H0),#H1));
276;(((A,(((B)#R0)#R1,#H0)),#H1));
277;(((((A)#R1,B))#R0,(#H0,#H1)));
278;((((A)#R1,((B,#H1))#R0),#H0));
279;(((((B)#R0,(A)#R1),#H1),#H0));
280;(((((B)#R1)#R0,#H1),(A,#H0)));
281;(((((B)#R0,(A)#R1),#H0),#H1));
282;((((B,((A)#R1)#R0),#H1),#H0));
283;((((B)#R0,((A)#R1,#H0)),#H1));
284;((((((B,A))#R1)#R0,#H1),#H0));
285;(((((A,#H1))#R0,(B)#R1),#H0));
286;(((#H0)#R1,((A)#R0,(B,#H1))));
287;((((A)#R0)#R1,((B,#H0),#H1)));
288;(((A,#H0),(((B)#R1)#R0,#H1)));
289;((A,(((B)#R0)#R1,(#H0,#H1))));
290;(((B,(((A)#R0)#R1,#H0)),#H1));
291;((((((A,B))#R0)#R1,#H0),#H1));
292;(((B,(((A)#R1)#R0,#H1)),#H0));
293;((((A)#R1)#R0,((#H0,#H1),B)));
294;(((((B)#R0,(A)#R1),#H1),#H0));
295;(((((B)#R1)#R0,#H1),(A,#H0)));
296;((((A)#R1)#R0,((B,#H1),#H0)));
297;((((B)#R0,((A)#R1,#H0)),#H1));
298;((((B,#H1))#R0,((A)#R1,#H0)));
299;(((((B,A))#R0,(#H0)#R1),#H1));
300;((((A)#R1,((#H1)#R0,B)),#H0));
301;((((A)#R1,(B)#R0),(#H0,#H1)));
302;((((B)#R0,((A,#H0))#R1),#H1));
303;((((A)#R0)#R1,(B,(#H0,#H1))));
304;(((B)#R1,((#H1)#R0,(A,#H0))));
305;((((#H0)#R1,(B)#R0),(A,#H1)));
306;(((B)#R1,((A)#R0,(#H0,#H1))));
307;((((B,((A)#R1)#R0),#H0),#H1));
308;((((((A)#R1)#R0,B),#H0),#H1));
309;((((A)#R0)#R1,((B,#H1),#H0)));
