Iteration;Newick
116;((A,((#H0)#R1,((B)#R0,#H1))));
117;((((A)#R1)#R0,((B,#H1),#H0)));
118;(((B)#R1,((A)#R0,(#H0,#H1))));
119;((((B)#R0)#R1,(A,(#H0,#H1))));
120;(((#H0,#H1),((B)#R0,(A)#R1)));
121;(((((A)#R0)#R1,#H0),(B,#H1)));
122;(((A)#R1,(((#H1)#R0,B),#H0)));
123;((((A,#H0),#H1),((B)#R1)#R0));
124;((((B,#H1),#H0),((A)#R1)#R0));
125;(((#H0,#H1),(((B)#R1)#R0,A)));
126;((((A)#R1)#R0,((B,#H1),#H0)));
127;((((B)#R0,(#H0)#R1),(A,#H1)));
128;(((#H0,#H1),(((A)#R0)#R1,B)));
129;(((#H1)#R0,(A,((B)#R1,#H0))));
130;(((((A)#R1)#R0,(B,#H1)),#H0));
131;(((((A)#R0)#R1,(B,#H0)),#H1));
132;(((B,(((A)#R0)#R1,#H0)),#H1));
133;((((((A)#R1,B))#R0,#H1),#H0));
134;(((((A)#R0)#R1,#H0),(B,#H1)));
135;((((A)#R0,(B)#R1),(#H0,#H1)));
136;((B,(((A)#R0)#R1,(#H0,#H1))));
137;((A,(((#H0)#R1,(B)#R0),#H1)));
138;(((B,#H0),((A)#R1,(#H1)#R0)));
139;((((A)#R1,(#H0,#H1)),(B)#R0));
140;(((((B)#R1)#R0,(A,#H1)),#H0));
141;(((#H0)#R1,(((B)#R0,A),#H1)));
142;((A,(((B)#R1)#R0,(#H0,#H1))));
143;(((((B)#R1,A))#R0,(#H0,#H1)));
144;(((A)#R1,((B,(#H1)#R0),#H0)));
145;(((B)#R1,(((#H1)#R0,A),#H0)));
146;((((((A,B))#R1)#R0,#H1),#H0));
147;(((((B,#H1))#R0,(A)#R1),#H0));
148;((((A,#H1))#R0,((B)#R1,#H0)));
149;((((A,#H1),#H0),((B)#R1)#R0));
150;(((((A)#R0)#R1,#H0),(B,#H1)));
151;(((((B)#R0)#R1,(#H0,#H1)),A));
152;((((#H0)#R1,((A)#R0,B)),#H1));
153;((((#H0)#R1,(B,(A)#R0)),#H1));
154;((((A)#R1)#R0,((B,#H0),#H1)));
155;((((((B)#R0)#R1,#H0),#H1),A));
156;((((B)#R1)#R0,(A,(#H0,#H1))));
157;((((((A)#R1,B))#R0,#H1),#H0));
158;((B,((((A)#R1)#R0,#H1),#H0)));
159;(((#H0)#R1,((A)#R0,(B,#H1))));
160;((A,(((#H1)#R0,(B)#R1),#H0)));
161;(((((B)#R1)#R0,(A,#H0)),#H1));
162;((((B)#R1,(A)#R0),(#H0,#H1)));
163;(((((A)#R0,(B)#R1),#H1),#H0));
164;((((((B)#R1)#R0,A),#H0),#H1));
165;((A,((((B)#R1)#R0,#H1),#H0)));
166;((((B,#H1))#R0,((A)#R1,#H0)));
167;((((((B,A))#R1)#R0,#H1),#H0));
168;((((B,#H1),((A)#R1)#R0),#H0));
169;(((A,(((B)#R1)#R0,#H1)),#H0));
170;(((B,((#H0)#R1,(A)#R0)),#H1));
171;((((#H0)#R1,A),((B)#R0,#H1)));
172;((B,((((A)#R0)#R1,#H0),#H1)));
173;(((((B)#R0)#R1,A),(#H0,#H1)));
174;((((((A)#R1)#R0,B),#H0),#H1));
175;((((B)#R1,#H0),((#H1)#R0,A)));
176;(((((A)#R1,(#H1)#R0),#H0),B));
177;((((A)#R0,(B)#R1),(#H0,#H1)));
178;(((A,#H1),(((B)#R0)#R1,#H0)));
179;((((((A)#R0)#R1,B),#H0),#H1));
180;((((((A)#R0)#R1,B),#H1),#H0));
181;((((A)#R1,#H0),((B)#R0,#H1)));
182;(((((A)#R1)#R0,(B,#H0)),#H1));
183;(((((B)#R0,(A)#R1),#H1),#H0));
184;(((A)#R1,((B)#R0,(#H0,#H1))));
185;(((((B)#R1)#R0,(A,#H1)),#H0));
186;(((((B)#R0)#R1,(A,#H1)),#H0));
187;(((#H0)#R1,(((A)#R0,B),#H1)));
188;(((((B)#R0)#R1,(#H0,#H1)),A));
189;(((#H0)#R1,((A)#R0,(B,#H1))));
190;((((A,#H0),((B)#R0)#R1),#H1));
191;((((A,((B)#R1)#R0),#H1),#H0));
192;(((((B)#R0)#R1,(A,#H0)),#H1));
193;((((B,#H1))#R0,((A)#R1,#H0)));
194;(((A)#R0,((B)#R1,(#H0,#H1))));
195;(((((A)#R0)#R1,#H0),(B,#H1)));
196;(((#H0)#R1,((A)#R0,(B,#H1))));
197;(((B)#R0,(((A)#R1,#H0),#H1)));
198;((((B)#R1)#R0,((A,#H1),#H0)));
199;(((A)#R0,((B)#R1,(#H0,#H1))));
200;(((((A)#R1)#R0,(B,#H1)),#H0));
201;(((A)#R1,((#H1)#R0,(B,#H0))));
202;(((#H0)#R1,(((A)#R0,#H1),B)));
203;((((#H0)#R1,(B,#H1)),(A)#R0));
204;((((#H0)#R1,((B,A))#R0),#H1));
205;(((((B)#R0)#R1,#H0),(A,#H1)));
206;((((((B)#R1)#R0,A),#H0),#H1));
207;((((A)#R1)#R0,((B,#H0),#H1)));
208;(((#H1)#R0,(A,((B)#R1,#H0))));
209;(((#H1)#R0,(B,((A)#R1,#H0))));
210;((((#H0)#R1,((B,A))#R0),#H1));
211;(((B,(((A)#R0)#R1,#H0)),#H1));
212;((((((A)#R0)#R1,B),#H1),#H0));
213;((((B)#R1)#R0,((A,#H1),#H0)));
214;((((B)#R0)#R1,((A,#H1),#H0)));
215;((((A,((B)#R1)#R0),#H1),#H0));
216;((((#H0,#H1),A),((B)#R1)#R0));
217;(((#H0)#R1,(B,((A)#R0,#H1))));
218;(((((B,A))#R0,#H1),(#H0)#R1));
219;((((A,#H1))#R0,((B)#R1,#H0)));
220;(((((A)#R1)#R0,#H1),(B,#H0)));
221;(((A)#R1,((B)#R0,(#H0,#H1))));
222;((((B,#H1))#R0,((A)#R1,#H0)));
223;(((A,#H0),((B)#R1,(#H1)#R0)));
224;((((A)#R1)#R0,((#H0,#H1),B)));
225;((((B)#R0,(A,(#H0)#R1)),#H1));
226;(((((#H1)#R0,(A)#R1),B),#H0));
227;((((A)#R1,((B,#H1))#R0),#H0));
228;((((B)#R0,(A)#R1),(#H0,#H1)));
229;(((((A)#R1)#R0,B),(#H0,#H1)));
230;((((((B,A))#R0)#R1,#H0),#H1));
231;(((((B)#R1)#R0,#H1),(A,#H0)));
232;((((A)#R1,#H0),((B)#R0,#H1)));
233;((A,(((B)#R1)#R0,(#H0,#H1))));
234;((((((B)#R0)#R1,A),#H0),#H1));
235;(((B)#R0,((#H0)#R1,(A,#H1))));
236;(((A)#R0,((#H0)#R1,(B,#H1))));
237;((((#H0)#R1,(A)#R0),(B,#H1)));
238;((((B,((A)#R0)#R1),#H1),#H0));
239;(((((B)#R1,#H0),A),(#H1)#R0));
240;(((((A,#H0))#R1,(B)#R0),#H1));
241;(((B)#R1,((#H1)#R0,(A,#H0))));
242;((((A,#H0),#H1),((B)#R0)#R1));
243;((((B)#R1,((A)#R0,#H1)),#H0));
244;((((B)#R0)#R1,(A,(#H0,#H1))));
245;((((B)#R0,#H1),(A,(#H0)#R1)));
246;((((((A)#R0)#R1,B),#H1),#H0));
247;(((((B)#R0)#R1,(A,#H0)),#H1));
248;((((#H1)#R0,(A)#R1),(B,#H0)));
249;((((A)#R1)#R0,(B,(#H0,#H1))));
250;((A,(((B)#R1)#R0,(#H0,#H1))));
251;(((((A)#R0)#R1,(B,#H0)),#H1));
252;(((#H0,#H1),(((B)#R0)#R1,A)));
253;(((((B,#H0))#R1,(A)#R0),#H1));
254;((((((B)#R1)#R0,A),#H1),#H0));
255;(((#H0)#R1,(((B,A))#R0,#H1)));
256;(((((B)#R0)#R1,(A,#H1)),#H0));
257;(((A)#R1,((B)#R0,(#H0,#H1))));
258;(((B)#R1,((A)#R0,(#H0,#H1))));
259;(((((#H0)#R1,(B)#R0),A),#H1));
260;(((((#H1)#R0,B),#H0),(A)#R1));
261;(((A)#R1,((B)#R0,(#H0,#H1))));
262;((((B)#R0,(A,#H1)),(#H0)#R1));
263;((A,(((#H1)#R0,(B)#R1),#H0)));
264;((A,(((B)#R0)#R1,(#H0,#H1))));
265;((((((B)#R1)#R0,A),#H1),#H0));
266;((((A)#R1)#R0,((B,#H0),#H1)));
267;((((((B)#R0)#R1,A),#H0),#H1));
268;(((((B,A))#R0)#R1,(#H0,#H1)));
269;((((A)#R0)#R1,((B,#H0),#H1)));
270;(((((A,#H1))#R0,(B)#R1),#H0));
271;(((A)#R0,((#H0,#H1),(B)#R1)));
272;((B,(((A)#R0,(#H0)#R1),#H1)));
273;((((B)#R1)#R0,((A,#H1),#H0)));
274;((((B)#R0)#R1,((A,#H0),#H1)));
275;((((B)#R0,(A)#R1),(#H0,#H1)));
276;(((A,(((B)#R0)#R1,#H0)),#H1));
277;(((B)#R0,((A)#R1,(#H0,#H1))));
278;(((B,((A)#R1,(#H1)#R0)),#H0));
279;((((A)#R1,(B)#R0),(#H0,#H1)));
280;(((((A)#R1,(B)#R0),#H1),#H0));
281;(((((#H0)#R1,(A)#R0),B),#H1));
282;((((B)#R0)#R1,(A,(#H0,#H1))));
283;(((B,((A)#R0)#R1),(#H0,#H1)));
284;(((((A,#H0))#R1,(B)#R0),#H1));
285;(((((A)#R1)#R0,(B,#H1)),#H0));
286;(((B)#R0,(((A)#R1,#H0),#H1)));
287;(((A)#R1,((#H1)#R0,(B,#H0))));
288;((((A)#R0)#R1,(B,(#H0,#H1))));
289;(((((B)#R0,(A)#R1),#H0),#H1));
290;((B,(((A)#R0)#R1,(#H0,#H1))));
291;((((B)#R0)#R1,(A,(#H0,#H1))));
292;(((#H0,#H1),(((A)#R1)#R0,B)));
293;((((A)#R1)#R0,(B,(#H0,#H1))));
294;(((A)#R1,((B)#R0,(#H0,#H1))));
295;((((B)#R1)#R0,(A,(#H0,#H1))));
296;((A,(((B)#R0)#R1,(#H0,#H1))));
297;(((((B)#R1)#R0,A),(#H0,#H1)));
298;((A,((((B)#R1)#R0,#H1),#H0)));
299;(((#H1)#R0,(((A,B))#R1,#H0)));
300;(((((B,(A)#R0))#R1,#H0),#H1));
301;((((A)#R0,((B)#R1,#H0)),#H1));
302;(((B)#R0,((A)#R1,(#H0,#H1))));
303;((((A)#R0,((B,#H0))#R1),#H1));
304;((((B)#R1)#R0,((#H0,#H1),A)));
305;(((B,(((A)#R1)#R0,#H1)),#H0));
306;((B,((((A)#R1)#R0,#H1),#H0)));
307;((((B)#R1)#R0,((A,#H1),#H0)));
308;((B,(((A)#R0)#R1,(#H0,#H1))));
309;((((A)#R1)#R0,((B,#H0),#H1)));
310;(((#H0,#H1),(((A)#R1)#R0,B)));
311;((((((A)#R0)#R1,B),#H1),#H0));
312;((A,((#H0)#R1,((B)#R0,#H1))));
313;(((((A)#R0,(B)#R1),#H1),#H0));
314;((B,((#H0,#H1),((A)#R0)#R1)));
315;(((B)#R0,(((A)#R1,#H0),#H1)));
316;((((A)#R1)#R0,((B,#H1),#H0)));
317;((B,(((#H1)#R0,(A)#R1),#H0)));
318;(((A)#R0,((B)#R1,(#H0,#H1))));
319;((((A)#R1,((B,#H1))#R0),#H0));
320;((((A,((B)#R1)#R0),#H1),#H0));
321;((((A,#H0))#R1,((B)#R0,#H1)));
322;(((((A)#R0)#R1,(B,#H1)),#H0));
323;(((((#H0)#R1,(B)#R0),#H1),A));
324;(((((B,A))#R0)#R1,(#H0,#H1)));
325;((((((A)#R0)#R1,B),#H1),#H0));
326;(((((B,#H1))#R0,(A)#R1),#H0));
327;((((((A)#R1)#R0,B),#H0),#H1));
328;((((A)#R0)#R1,((B,#H1),#H0)));
329;(((((A)#R0)#R1,(B,#H0)),#H1));
330;(((#H1)#R0,(B,((A)#R1,#H0))));
331;((((A,#H1),#H0),((B)#R1)#R0));
332;((((A)#R1,(B,(#H1)#R0)),#H0));
333;((((A)#R0)#R1,(B,(#H0,#H1))));
334;((B,(((A)#R0)#R1,(#H0,#H1))));
335;(((#H0,#H1),(((A)#R0)#R1,B)));
336;((((#H1)#R0,A),((B)#R1,#H0)));
337;(((B)#R0,(((A)#R1,#H0),#H1)));
338;((((A)#R0)#R1,((#H0,#H1),B)));
339;((B,(((A)#R1)#R0,(#H0,#H1))));
340;(((#H0)#R1,((A)#R0,(B,#H1))));
341;((((A,((B)#R1)#R0),#H0),#H1));
342;((((A)#R1)#R0,((B,#H1),#H0)));
343;(((#H0)#R1,((A,(B)#R0),#H1)));
344;((((((B)#R0)#R1,A),#H0),#H1));
345;((((B)#R1,(A,#H0)),(#H1)#R0));
346;((((B)#R1)#R0,((A,#H1),#H0)));
347;(((((A)#R0)#R1,(B,#H0)),#H1));
348;(((((A)#R0,B),(#H0)#R1),#H1));
