,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
9255,9255,2,1.0,[5],"['A', 'B']",None,False,None,0,9255,"((((B)#R0,#H1),((A)#R1,#H0)))"
9256,9256,2,1.0,[4],[],None,False,None,0,9256,"(((((B,A))#R1,(#H1)#R0),#H0))"
9257,9257,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9257,"((((B)#R1,((A)#R0,#H1)),#H0))"
9258,9258,2,0.9544340029249649,[5],['A'],B,False,None,1,9258,"((((((A)#R0,B))#R1,#H0),#H1))"
9259,9259,2,1.0,[4],['B'],None,False,B,0,9259,"((A,(((B)#R1)#R0,(#H0,#H1))))"
9260,9260,2,0.9544340029249649,[5],['A'],B,False,None,1,9260,"((((B,(A)#R0))#R1,(#H0,#H1)))"
9261,9261,2,0.5435644431995964,[5],['A'],B,False,None,1,9261,"((((#H0)#R1,(B,(A)#R0)),#H1))"
9262,9262,2,0.8112781244591328,[5],['B'],A,False,B,0,9262,"((((B)#R1,(#H1)#R0),(A,#H0)))"
9263,9263,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9263,"(((B)#R1,(((A)#R0,#H1),#H0)))"
9264,9264,2,0.5435644431995964,[5],['B'],A,False,None,1,9264,"(((((B)#R0)#R1,(A,#H0)),#H1))"
9265,9265,2,1.0,[4],['B'],None,False,B,0,9265,"((A,(((B)#R1)#R0,(#H0,#H1))))"
9266,9266,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9266,"(((((B)#R0,(A)#R1),#H0),#H1))"
9267,9267,2,0.8112781244591328,[5],['B'],None,False,B,0,9267,"((((B)#R0)#R1,(A,(#H0,#H1))))"
9268,9268,2,0.8112781244591328,[5],['B'],None,False,B,0,9268,"((((B)#R0)#R1,(A,(#H0,#H1))))"
9269,9269,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9269,"(((B)#R0,(((A)#R1,#H0),#H1)))"
9270,9270,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9270,"((((B)#R1,(#H0,#H1)),(A)#R0))"
9271,9271,2,1.0,[4],['B'],None,False,B,0,9271,"((A,(((B)#R0)#R1,(#H0,#H1))))"
